id,title,assignee,inventor,priority,filing,publicationdate,grantdate,resultlink,url,
US-2020387831-A1,Generative machine learning systems for drug design ,"Preferred Networks, Inc.","Kenta OONO, Justin CLAYTON, Nobuyuki Ota",2015-12-02,2020-08-24,2020-12-10,,https://patents.google.com/patent/US20200387831A1/en,https://patentimages.storage.googleapis.com/b2/88/51/c54ea563e8975c/US20200387831A1-20201210-D00000.png,
US-9409945-B2,Combinatorial synthesis of libraries of macrocyclic compounds useful in drug discovery ,"Ocera Therapeutics, Inc.","Pierre Deslongchamps, Yves Dory, Gilles Berthiaume, Luc Ouellet, Ruoxi Lan",1999-10-04,2015-04-27,2016-08-09,2016-08-09,https://patents.google.com/patent/US9409945B2/en,https://patentimages.storage.googleapis.com/3e/08/f9/8fa016cb998384/US09409945-20160809-D00000.png,
US-9744262-B2,"Alimentary protein-based scaffolds (APS) for wound healing, regenerative medicine and drug discovery ",Drexel University,"Peter I. Lelkes, Dara L. Woerdeman, Leko Lin, Anat Katsir",2007-02-14,2014-06-11,2017-08-29,2017-08-29,https://patents.google.com/patent/US9744262B2/en,https://patentimages.storage.googleapis.com/3e/9f/58/0c790c4bae2a15/US09744262-20170829-D00001.png,
JP-6661560-B2,Drug screening and efficacy assays ,インリージェン,"アンドリュー ティー． ブルース，, アンドリュー  ティー． ブルース，, ラッセル ダブリュ． ケリー，, ラッセル  ダブリュ． ケリー，, ティモシー エー． ベルトラム，, ティモシー  エー． ベルトラム，, スマナ チョウドリー，, スマナ チョウドリー，, ジョイディープ バス，, ジョイディープ バス，",2011-11-04,2017-02-16,2020-03-11,2020-03-11,https://patents.google.com/patent/JP6661560B2/en,https://patentimages.storage.googleapis.com/b3/2e/7f/2a2bdf3ffff142/0006661560-19.png,
JP-6917975-B2,"Manufacturing method of extracorporeal vascular perfusion device, drug screening device, and extracorporeal microcirculation system ",アドバンスト・ソリューションズ・ライフ・サイエンシズ，エルエルシー,"ゴールウェイ，マイケル・ダブリュー, ホアイング，ジェームズ・ビー",2015-07-06,2016-07-06,2021-08-11,2021-08-11,https://patents.google.com/patent/JP6917975B2/en,https://patentimages.storage.googleapis.com/c0/d5/bc/8f6dd416613a92/0006917975-2.png,
CN-107247095-B,A kind of construction method of the rat model for oxidation-resisting and caducity drug screening based on metabonomic analysis ,武汉大学,"周本宏, 陈鹏, 陈富超, 邱振鹏",2017-05-25,2017-05-25,2019-08-20,2019-08-20,https://patents.google.com/patent/CN107247095B/en,,
US-2019304568-A1,System and methods for machine learning for drug design and discovery ,Board Of Trustees Of Michigan State University,"Guowei Wei, Duc Nguyen, Zixuan Cang",2018-03-30,2019-04-01,2019-10-03,,https://patents.google.com/patent/US20190304568A1/en,https://patentimages.storage.googleapis.com/1c/e8/ec/2f51a6f9dd4c0b/US20190304568A1-20191003-D00000.png,
US-2019164630-A1,Drug discovery methods ,"QIAGEN Redwood City, Inc.","Richard O. Chen, Raymond J. Cho, Ramon M. Felciano, Bret Holley, Viresh Patel, Daniel R. Richards, Sushma Selvarajan, Keith Steward, Sara Tanenbaum Schneider",2002-02-04,2018-06-25,2019-05-30,,https://patents.google.com/patent/US20190164630A1/en,https://patentimages.storage.googleapis.com/31/05/9f/e38a780208587c/US20190164630A1-20190530-D00001.png,
JP-6124856-B2,"Diagnostic tumor marker, drug screening for inhibition of tumor formation, and composition and method for cancer treatment ",ミナーヴァ・バイオテクノロジーズ・コーポレーション,"バムダッド，シンシア・シー, バムダッド，アール・ショシャナ",2000-11-27,2014-10-06,2017-05-10,2017-05-10,https://patents.google.com/patent/JP6124856B2/en,https://patentimages.storage.googleapis.com/fa/21/65/8ab841f160270e/0006124856-20.png,
US-10930372-B2,Solution for drug discovery ,Northrop Grumman Systems Corporation,"Sanjiv Desai, Sreelatha Ghanta",2015-10-02,2015-10-02,2021-02-23,2021-02-23,https://patents.google.com/patent/US10930372B2/en,https://patentimages.storage.googleapis.com/33/f3/33/c05f40066b7a69/US10930372-20210223-D00000.png,
US-2023160877-A1,Assay for drug discovery based on in vitro differentiated cells ,Evotec International Gmbh,"Heribert Bohlen, Kristina Tressat, Andreas Ehlich, Silke Schwengberg",2004-05-11,2023-01-18,2023-05-25,,https://patents.google.com/patent/US20230160877A1/en,https://patentimages.storage.googleapis.com/4f/a8/16/ee573245a6f498/US20230160877A1-20230525-D00001.png,
US-11727282-B2,Systems and methods for spatial graph convolutions with applications to drug discovery and molecular simulation ,The Board Of Trustees Of The Leland Stanford Junior University,"Evan Nathaniel Feinberg, Vijay Satyanand Pande, Bharath Ramsundar",2018-03-05,2019-03-05,2023-08-15,2023-08-15,https://patents.google.com/patent/US11727282B2/en,https://patentimages.storage.googleapis.com/c1/d3/4d/c19a506b37b903/US11727282-20230815-D00000.png,
AU-2017359330-B2,3D vascularized human ocular tissue for cell therapy and drug discovery ,"The United States Of America, As Represented By The Secretary Department Of Health And Human Services","Kapil BHARTI, Russell Louis Quinn, Min Jae Song",2016-11-09,2017-11-08,2022-03-10,2022-03-10,https://patents.google.com/patent/AU2017359330B2/en,,
US-10034854-B2,Pharmaceutical composition with improved bioavailability ,Hoffman-La Roche Inc.,"Steve Lomuscio, Hua Ma, Michael Allen Matchett, Harpreet K. Sandhu, Navnit Hargovindas Shah, Yu-E Zhang",2013-01-22,2016-07-01,2018-07-31,2018-07-31,https://patents.google.com/patent/US10034854B2/en,https://patentimages.storage.googleapis.com/57/39/c4/ffbea639a55ffb/US10034854-20180731-D00001.png,
US-2020060976-A1,Formulations of enzalutamide ,"Astellas Pharma Inc., Medivation Prostate Therapeutics Llc","Douglas Alan Lorenz, Sanjay Konagurthu, Randy J. Wald, Jason A. Everett, Sheila Matz, Yuuki Takaishi, Toshiro Sakai, Ryousuke Irie, Shinsuke Oba, Hiroyasu Toyota, Koji Nishimura, Atsushi Kanbayashi",2012-09-11,2019-04-01,2020-02-27,,https://patents.google.com/patent/US20200060976A1/en,https://patentimages.storage.googleapis.com/0c/16/d6/414e3f599b9f3c/US20200060976A1-20200227-D00001.png,
TW-I719349-B,Crystalline forms and compositions of cftr modulators ,美商維泰克斯製藥公司,"瓦夏 達曼卡, 柯克 瑞曼 戴哈特, 艾勒尼 督古, 羅里 安 費里斯, 尼尚思 戈匹納坦, 凱蒂 麥卡蒂, 凱薩琳 梅茨勒, 蓓莉 章",2017-10-19,2018-10-19,2021-02-21,2021-02-21,https://patents.google.com/patent/TWI719349B/en,https://patentimages.storage.googleapis.com/a9/c6/f2/dc8151e917c7e1/107136997-A0202-14-0001-487.png,
AU-2015202975-B2,"Pharmaceutical composition of (R)-1-(2,2-difluorobenzo[d][1,3]dioxol-5-yl)-N-(1-(2,3-dihydroxy propyl)-6-fluoro-2-(1-hydroxy-2-methylpropan-2-yl)-1H-indol-5-yl) cyclopropanecarboxamide and administration thereof ",Vertex Pharmaceuticals Incorporated,"Rossitza Gueorguieva Alargova, Craig Antony Dunbar, Irina Nikolaevna Kadiyala",2010-08-23,2015-06-03,2016-05-12,2016-05-12,https://patents.google.com/patent/AU2015202975B2/en,,
CA-3068609-A1,Compositions and methods for treatment of cystic fibrosis ,"Vertex Pharmaceuticals Incorporated, Cathy CHU, Eleni Dokou, Eric L. HASELTINE, Samuel MOSKOWITZ, Kirk A. OVERHOFF, Sarah Robertson, David Waltz","Cathy CHU, Eleni Dokou, Eric L. HASELTINE, Samuel MOSKOWITZ, Kirk A. OVERHOFF, Sarah Robertson, David Waltz",2017-07-01,2018-06-29,2019-01-10,,https://patents.google.com/patent/CA3068609A1/en,,
US-2020338063-A1,Pharmaceutical compositions for the treatment of cftr mediated diseases ,Vertex Pharmaceuticals Incorporated,"Marinus Jacobus Verwijs, Radhika Karkare, Michael Douglas Moore",2012-11-02,2019-12-20,2020-10-29,,https://patents.google.com/patent/US20200338063A1/en,https://patentimages.storage.googleapis.com/50/c3/82/f6fe39a5f771ab/US20200338063A1-20201029-D00001.png,
EP-3068392-B9,Process of preparing pharmaceutical compositions for the treatment of cftr mediated diseases ,Vertex Pharmaceuticals Incorporated,"Kelly Ann Swinney, Patricia Nell HURTER, David E. NADIG, David Smith, Vance Hayden THOMAS, Martin Paul WARMAN",2013-11-12,2014-10-31,2021-08-04,2021-08-04,https://patents.google.com/patent/EP3068392B9/en,https://patentimages.storage.googleapis.com/9e/91/3c/c6f0d64fd2a05f/imgf0001.png,
US-10912781-B2,Pharmaceutical composition comprising licarbazepine acetate ,"Bial-Portela & C.A., S.A.","Teöfilo Cardoso de Vasconcelos, Ricardo Jorge dos Santos Lima, Rui Cerdeira de Campos Costa",2007-10-26,2017-01-04,2021-02-09,2021-02-09,https://patents.google.com/patent/US10912781B2/en,,
US-9339467-B2,Method for making homogeneous spray-dried solid amorphous drug dispersions utilizing modified spray-drying apparatus ,"Bend Research, Inc.","Ronald A. Beyerinck, Heather L. M. Deibele, Dan E. Dobry, Roderick J. Ray, Dana M. Settell, Ken R. Spence",2002-02-01,2014-08-05,2016-05-17,2016-05-17,https://patents.google.com/patent/US9339467B2/en,https://patentimages.storage.googleapis.com/e7/1c/0d/193997f22b6b6a/US09339467-20160517-D00000.png,
US-11052075-B2,"Pharmaceutical compositions of 3-(6-(1-(2,2-difluorobenzo[d][1,3]dioxol-5-yl) cyclopropanecarboxamido)-3-methylpyridin-2-yl) benzoic acid and administration thereof ",Vertex Pharmaceuticals Incorporated,"Marinus Jacobus Verwijs, Rossitza Gueorguieva Alargova, Ritu Rohit Kaushik, Irina Nikolaevna Kadiyala, Christopher Young",2010-04-07,2019-08-02,2021-07-06,2021-07-06,https://patents.google.com/patent/US11052075B2/en,https://patentimages.storage.googleapis.com/47/fa/bd/47a3996c0c192f/US11052075-20210706-D00001.png,
US-11110094-B2,Risperidone sustained release microsphere composition ,"Shandong Luye Pharmaceutical Co., Ltd., Nanjing Luye Pharmaceutical Co., Ltd.","Kaoxiang Sun, Rongcai Liang, Oilin Wang, Wenyan Wang, Wanhui Liu, Youxin Li",2011-04-25,2019-07-29,2021-09-07,2021-09-07,https://patents.google.com/patent/US11110094B2/en,https://patentimages.storage.googleapis.com/02/7c/b6/25ed9d47d7aa68/US11110094-20210907-D00001.png,
AU-2016203986-B2,"Crystalline forms of a macrolide, and uses therefor ","Cempra Pharmaceuticals, Inc.",David E. Pereira,2010-03-22,2016-06-15,2016-10-06,2016-10-06,https://patents.google.com/patent/AU2016203986B2/en,,
US-2020397904-A1,Formulations of rifaximin and uses thereof ,"Salix Pharmaceuticals, Inc.","Jon Selbo, Jing Teng, Mohammed A. Kabir, Pam Golden",2010-07-12,2020-06-30,2020-12-24,,https://patents.google.com/patent/US20200397904A1/en,https://patentimages.storage.googleapis.com/67/8a/5b/91713b280907f9/US20200397904A1-20201224-D00000.png,
US-2015065439-A1,Pharmaceutical compositions ,Vertex Pharmaceuticals Incorporated,"Tapan Sanghvi, Kirk Raymond Dinehart",2013-02-28,2014-02-27,2015-03-05,,https://patents.google.com/patent/US20150065439A1/en,https://patentimages.storage.googleapis.com/a4/7a/6d/27df072a63337d/US20150065439A1-20150305-D00001.png,
